sample	junction	class	frame_class	variants	complex_class	frame_count
BRE002	chr4_158357357_-:chr4_158357570_+	intergenic	_			NA
BRE002	chr4_158390171_+:chr4_158409444_-	intergenic	_			NA
BRE002	chr4_159329345_+:chr4_159379719_-	intragenic	_			NA
BRE002	chr4_161577953_+:chr4_161583590_+	intergenic	_			NA
BRE002	chr4_161583579_-:chr4_161605173_-	intergenic	_			NA
BRE002	chr4_161887357_-:chr4_161890596_+	intergenic	_			NA
BRE002	chr11_76382311_+:chr4_163870677_-	intergenic	_			NA
BRE002	chr4_164069163_+:chr4_164102175_-	gene_intergenic	_			NA
BRE002	chr4_165951834_+:chr4_166008396_-	intergenic	_			NA
BRE002	chr4_169239348_+:chr4_169274348_-	gene_intergenic	_			NA
BRE002	chr4_170022092_+:chr4_170219483_-	gene_intergenic	_			NA
BRE002	chr4_170178348_+:chr4_170204774_-	gene_intergenic	_			NA
BRE002	chr4_174356907_+:chr4_174406751_-	intergenic	_			NA
BRE002	chr4_184234248_+:chr4_184260681_-	intergenic	_			NA
BRE002	chr4_185757799_+:chr4_186498221_-	intergenic	_			NA
BRE002	chr4_186411278_+:chr4_186560437_-	intergenic	_			NA
BRE002	chr4_186582718_+:chr4_186614414_-	intragenic	_			NA
BRE002	chr4_186905611_+:chr4_187159907_-	gene_intergenic	_			NA
BRE002	chr4_187596671_+:chr4_187630863_-	intragenic	_			NA
BRE002	chr4_187897536_+:chr4_187925564_+	gene_intergenic	_			NA
BRE002	chr4_187925560_-:chr4_187930408_-	intragenic	_			NA
BRE002	chr4_188339106_+:chr4_188360356_-	intergenic	_			NA
BRE002	chr4_188957109_+:chr4_188970559_-	intergenic	_			NA
BRE002	chr4_190262877_+:chr4_190343149_-	intergenic	_			NA
BRE002	chr5_147733_+:chr5_153552_-	intragenic	_			NA
BRE002	chr5_396586_+:chr5_429052_-	intragenic	_			NA
BRE002	chr5_1133233_+:chr5_1185442_-	intergenic	_			NA
BRE002	chr5_1734431_+:chr5_1759871_-	intergenic	_			NA
BRE002	chr5_2953308_+:chr5_2983976_-	intergenic	_			NA
BRE002	chr5_3449797_+:chr5_3494233_-	intragenic	_			NA
BRE002	chr5_4109775_+:chr5_4222644_-	intergenic	_			NA
BRE002	chr5_4232329_-:chr5_4232382_+	intergenic	_			NA
BRE002	chr5_4312023_+:chr5_4327425_-	intergenic	_			NA
BRE002	chr5_4312308_+:chr5_4401715_-	intergenic	_			NA
BRE002	chr5_4560268_+:chr5_4615655_-	intragenic	_			NA
BRE002	chr5_6672480_+:chr5_6702948_-	intergenic	_			NA
BRE002	chr5_6674526_+:chr5_6808556_-	gene_intergenic	_			NA
BRE002	chr5_11244475_+:chr5_11267068_-	intragenic	_			NA
BRE002	chr5_12549325_+:chr5_12626725_-	gene_intergenic	_			NA
BRE002	chr5_12668613_+:chr5_12672853_+	intragenic	_			NA
BRE002	chr5_12672507_-:chr5_12696291_-	intragenic	_			NA
BRE002	chr5_13989732_+:chr5_14003374_-	intergenic	_			NA
BRE002	chr5_19237569_+:chr5_19324396_-	intergenic	_			NA
BRE002	chr5_20433344_+:chr5_20437186_-	intragenic	_			NA
BRE002	chr5_20437177_+:chr5_20476087_-	intragenic	_			NA
BRE002	chr5_21565352_+:chr5_21576358_-	intragenic	_			NA
BRE002	chr5_25118229_-:chr5_25119769_+	intergenic	_			NA
BRE002	chr5_25348692_+:chr5_25364913_-	intergenic	_			NA
BRE002	chr5_25428034_+:chr5_25445260_-	intragenic	_			NA
BRE002	chr5_25433872_-:chr5_25452178_-	intergenic	_			NA
BRE002	chr5_25439225_+:chr5_25445267_+	intragenic	_			NA
BRE002	chr5_25932426_+:chr5_25955680_-	intergenic	_			NA
BRE002	chr5_27203427_+:chr5_27233117_-	intergenic	_			NA
BRE002	chr5_28252367_+:chr5_28337532_-	intergenic	_			NA
BRE002	chr5_28836452_+:chr5_28869606_-	intergenic	_			NA
BRE002	chr5_30051795_+:chr5_30075172_-	intergenic	_			NA
BRE002	chr5_30065550_+:chr5_30131187_-	intergenic	_			NA
BRE002	chr5_30480778_+:chr5_30510330_-	intergenic	_			NA
BRE002	chr5_31232779_+:chr5_31981781_-	gene_gene	_			NA
BRE002	chr5_31687497_+:chr5_31708566_-	intragenic	_			NA
BRE002	chr5_31695624_+:chr5_31896905_-	intragenic	_			NA
BRE002	chr5_31975703_-:chr5_31978273_+	intragenic	_			NA
BRE002	chr5_32063369_+:chr5_32229079_-	intergenic	_			NA
BRE002	chr5_32202151_+:chr5_32216699_-	intergenic	_			NA
BRE002	chr5_32369163_+:chr5_32390626_-	intragenic	_			NA
BRE002	chr5_32413208_+:chr5_32570678_-	gene_intergenic	_			NA
BRE002	chr5_34784342_+:chr5_34852965_-	gene_gene	_			NA
BRE002	chr5_34794027_+:chr5_34838966_-	gene_gene	_			NA
BRE002	chr5_36527516_+:chr5_36578385_-	intergenic	_			NA
BRE002	chr5_37076755_+:chr5_37314150_-	intergenic	_			NA
BRE002	chr5_38787252_+:chr5_38893342_-	gene_gene	simple_hidden_frame	chr5_38787252_+:chr5_38893342_-	simple	1
BRE002	chr5_38861990_+:chr5_39644425_-	intergenic	_			NA
BRE002	chr5_39297337_+:chr5_39323689_-	intragenic	_			NA
BRE002	chr5_39910185_-:chr5_39916173_-	intergenic	_			NA
BRE002	chr5_39910368_+:chr5_39972226_-	intergenic	_			NA
BRE002	chr5_40450878_+:chr5_40512707_-	intergenic	_			NA
BRE002	chr5_43063168_+:chr5_43226427_-	gene_intergenic	_			NA
BRE002	chr5_49819211_-:chr5_49820127_+	intergenic	_			NA
BRE002	chr5_54858642_+:chr5_55843650_-	intergenic	_			NA
BRE002	chr5_56607247_+:chr5_57049284_-	intergenic	_			NA
BRE002	chr5_58411972_+:chr5_59025907_-	intragenic	_			NA
BRE002	chr5_59458457_-:chr5_59537394_+	intragenic	_			NA
BRE002	chr5_60203146_+:chr5_66344357_+	gene_gene	_			NA
BRE002	chr5_60352124_-:chr5_66912340_-	gene_intergenic	simple_hidden_frame	chr5_60352124_-:chr5_66912340_-	simple	1
BRE002	chr5_65322973_+:chr5_65372531_-	intragenic	_			NA
BRE002	chr5_70929717_+:chr5_71124201_-	intergenic	_			NA
BRE002	chr5_71008275_+:chr5_71033055_-	intergenic	_			NA
BRE002	chr5_73917869_+:chr5_73938614_-	gene_intergenic	_			NA
BRE002	chr5_77816786_+:chr5_77890723_-	intragenic	_			NA
BRE002	chr5_78925744_+:chr5_78959410_+	intragenic	_			NA
BRE002	chr5_78959409_-:chr5_78962389_-	intragenic	_			NA
BRE002	chr5_83398352_+:chr5_83415661_-	intragenic	_			NA
BRE002	chr5_94659912_+:chr5_94726979_-	intergenic	_			NA
BRE002	chr5_100432660_+:chr5_100447416_-	intergenic	_			NA
BRE002	chr5_100854759_+:chr5_100875061_-	intergenic	_			NA
BRE002	chr5_102284274_+:chr5_102313411_-	intragenic	_			NA
BRE002	chr5_102335652_+:chr5_102469946_-	gene_gene	_			NA
BRE002	chr5_102867017_+:chr5_102924016_-	gene_intergenic	_			NA
BRE002	chr5_104225560_-:chr5_104227591_+	intragenic	_			NA
BRE002	chr5_106047355_+:chr5_106742368_-	intergenic	_			NA
BRE002	chr5_107138348_+:chr5_107164425_-	intergenic	_			NA
BRE002	chr5_111491198_+:chr5_113143248_-	gene_intergenic	_			NA
BRE002	chr5_112779542_+:chr5_112883995_-	gene_intergenic	_			NA
BRE002	chr5_114123183_+:chr5_114167952_-	intergenic	_			NA
BRE002	chr5_114658828_+:chr5_114733823_-	intergenic	_			NA
BRE002	chr5_120882930_+:chr5_120976741_-	intergenic	_			NA
BRE002	chr5_120985476_+:chr5_121007207_-	intergenic	_			NA
BRE002	chr5_123632793_+:chr5_123706700_-	intergenic	_			NA
BRE002	chr5_123947986_+:chr5_124325333_-	intergenic	_			NA
BRE002	chr5_126173346_+:chr5_126194229_-	intergenic	_			NA
BRE002	chr5_126449365_+:chr5_127419629_-	gene_intergenic	_			NA
BRE002	chr5_127050932_+:chr5_127304857_-	intergenic	_			NA
BRE002	chr5_129898068_+:chr5_129910970_-	intergenic	_			NA
BRE002	chr5_130400519_+:chr5_130458152_-	intergenic	_			NA
BRE002	chr5_131547976_+:chr5_131570603_-	intragenic	_			NA
BRE002	chr5_131669726_+:chr5_131820827_-	gene_gene	_			NA
BRE002	chr5_132872436_+:chr5_132886664_-	intragenic	_			NA
BRE002	chr5_135228603_+:chr5_135287785_-	gene_gene	_			NA
BRE002	chr5_136898388_+:chr5_141775243_-	gene_intergenic	_			NA
BRE002	chr5_138190804_+:chr5_138220362_-	intragenic	_			NA
BRE002	chr5_138350875_+:chr5_138618282_-	intragenic	_			NA
BRE002	chr5_138355113_+:chr5_138708130_-	gene_gene	_			NA
BRE002	chr5_138578444_+:chr5_138603772_-	intragenic	_			NA
BRE002	chr5_138632528_+:chr5_140230172_-	gene_gene	_			NA
BRE002	chr5_139431314_+:chr5_140610972_-	intergenic	_			NA
BRE002	chr5_139541495_+:chr5_139598688_-	gene_gene	_			NA
BRE002	chr5_140127456_+:chr5_140700381_-	intergenic	_			NA
BRE002	chr5_140749578_+:chr5_140763575_-	intragenic	_			NA
BRE002	chr5_140900715_+:chr5_140920167_-	intragenic	_			NA
BRE002	chr5_142467919_+:chr5_142469542_-	intragenic	_			NA
BRE002	chr5_144325241_+:chr5_144351940_-	intergenic	_			NA
BRE002	chr5_145295559_+:chr5_145335031_-	gene_intergenic	_			NA
BRE002	chr5_148182776_+:chr5_148194007_-	intergenic	_			NA
BRE002	chr5_149497874_+:chr5_149499387_+	intragenic	_			NA
BRE002	chr5_149499176_-:chr5_150220345_-	intergenic	_			NA
BRE002	chr5_156193069_+:chr5_156289908_-	intergenic	_			NA
BRE002	chr5_160739884_-:chr5_160739918_+	intragenic	_			NA
BRE002	chr5_164619469_+:chr5_164639452_-	intergenic	_			NA
BRE002	chr22_44319460_-:chr5_167592643_+	gene_intergenic	_			NA
BRE002	chr5_168137949_+:chr5_168295094_-	intragenic	_			NA
BRE002	chr5_168429686_+:chr5_168458955_-	intragenic	_			NA
BRE002	chr5_170055106_+:chr5_170916304_-	intergenic	_			NA
BRE002	chr5_170573309_+:chr5_170588160_-	intragenic	_			NA
BRE002	chr5_172312158_+:chr5_172380708_-	intergenic	_			NA
BRE002	chr5_176453340_+:chr5_177116471_-	gene_gene	_			NA
BRE002	chr5_178667666_+:chr5_178801942_-	gene_intergenic	_			NA
BRE002	chr5_179503512_+:chr5_179517104_-	intergenic	_			NA
BRE002	chr6_183566_+:chr6_982301_-	gene_intergenic	_			NA
BRE002	chr6_231866_+:chr6_266105_-	intergenic	_			NA
BRE002	chr6_589793_+:chr6_610050_-	intragenic	_			NA
BRE002	chr6_605196_-:chr6_605294_+	intragenic	_			NA
BRE002	chr6_1256455_+:chr6_1713068_-	intergenic	_			NA
BRE002	chr6_1981959_+:chr6_3324879_-	gene_gene	_			NA
BRE002	chr6_2353870_+:chr6_2412840_-	intragenic	_			NA
BRE002	chr6_2756788_+:chr6_2844795_-	intergenic	_			NA
BRE002	chr6_3206073_+:chr6_3312263_-	gene_intergenic	_			NA
BRE002	chr6_4894741_+:chr6_4909271_-	intragenic	_			NA
BRE002	chr6_5382119_+:chr6_5408909_-	intragenic	_			NA
BRE002	chr6_8299207_+:chr6_8423130_-	intergenic	_			NA
BRE002	chr6_10360724_+:chr6_10410843_-	gene_intergenic	_			NA
BRE002	chr6_12105714_+:chr6_12122510_-	intragenic	_			NA
BRE002	chr6_13749071_+:chr6_13773724_-	intergenic	_			NA
BRE002	chr6_14821618_+:chr6_14836180_-	intergenic	_			NA
BRE002	chr6_14879734_+:chr6_15062984_-	intergenic	_			NA
BRE002	chr6_15793573_+:chr6_15863954_-	intergenic	_			NA
BRE002	chr6_16866802_-:chr6_18931697_+	intergenic	_			NA
BRE002	chr6_20713152_+:chr6_20986248_-	intragenic	_			NA
BRE002	chr6_20929537_+:chr6_21409297_-	intergenic	_			NA
BRE002	chr6_21331717_-:chr6_21332207_+	intergenic	_			NA
BRE002	chr6_21591807_+:chr6_21621113_-	intergenic	_			NA
BRE002	chr6_21736493_-:chr6_21736551_+	intragenic	_			NA
BRE002	chr6_22889353_+:chr6_22905958_-	intragenic	_			NA
BRE002	chr6_22898972_+:chr6_22932560_-	intragenic	_			NA
BRE002	chr6_23770245_+:chr6_23784879_-	intergenic	_			NA
BRE002	chr6_23783447_-:chr6_23783541_+	intergenic	_			NA
BRE002	chr6_24836766_+:chr6_24870398_-	intragenic	_			NA
BRE002	chr6_25879924_+:chr6_25943409_-	gene_intergenic	_			NA
BRE002	chr6_25937759_+:chr6_26045576_-	intergenic	_			NA
BRE002	chr6_26343479_+:chr6_26555263_-	intergenic	_			NA
BRE002	chr6_27533595_+:chr6_27570879_-	intergenic	_			NA
BRE002	chr6_27658319_+:chr6_27712938_-	intergenic	_			NA
BRE002	chr6_29876703_+:chr6_29934074_-	intergenic	_			NA
BRE002	chr6_31577325_+:chr6_36292995_-	intergenic	_			NA
BRE002	chr6_31612054_+:chr6_31746670_-	gene_gene	simple_fusion_gene	chr6_31612054_+:chr6_31746670_-	simple	1
BRE002	chr6_32712042_+:chr6_32811012_-	intergenic	_			NA
BRE002	chr6_32763124_+:chr6_32828762_-	intergenic	_			NA
BRE002	chr6_32899885_+:chr6_32951946_-	intergenic	_			NA
BRE002	chr6_32902507_-:chr6_32902672_+	intragenic	_			NA
BRE002	chr6_32921408_+:chr6_32941395_-	gene_intergenic	_			NA
BRE002	chr6_32939886_-:chr6_32940127_+	intragenic	_			NA
BRE002	chr6_33133088_+:chr6_33178003_-	gene_intergenic	simple_hidden_frame	chr6_33133088_+:chr6_33178003_-	simple	1
BRE002	chr6_33173476_-:chr6_34013127_+	gene_intergenic	_			NA
BRE002	chr6_33461320_-:chr6_33466284_+	intergenic	_			NA
BRE002	chr6_33629800_+:chr6_33660736_-	intragenic	_			NA
BRE002	chr6_34539041_+:chr6_34550929_-	intergenic	_			NA
BRE002	chr6_35519866_+:chr6_35754704_-	gene_intergenic	_			NA
BRE002	chr6_35623779_+:chr6_35786111_-	gene_intergenic	_			NA
BRE002	chr6_35788553_+:chr6_35840158_-	intergenic	_			NA
BRE002	chr6_37170819_+:chr6_37182206_-	intergenic	_			NA
BRE002	chr6_38558136_+:chr6_38592433_-	intragenic	_			NA
BRE002	chr6_42483624_+:chr6_42703989_-	intergenic	_			NA
BRE002	chr6_42890203_-:chr6_42896315_+	gene_intergenic	_			NA
BRE002	chr6_44066705_+:chr6_44353457_-	intergenic	_			NA
BRE002	chr6_44144139_+:chr6_44168668_-	intergenic	_			NA
BRE002	chr6_46717003_+:chr6_46763205_-	gene_gene	_			NA
BRE002	chr6_46729956_+:chr6_46755889_-	intergenic	_			NA
BRE002	chr6_47205359_-:chr6_47205640_+	intragenic	_			NA
BRE002	chr6_47551182_+:chr6_47604553_-	intergenic	_			NA
BRE002	chr6_55172168_+:chr6_55221509_-	gene_intergenic	_			NA
BRE002	chr6_55563982_+:chr6_55567665_-	intergenic	_			NA
BRE002	chr6_56446778_+:chr6_56452651_+	intragenic	_			NA
BRE002	chr6_56452163_-:chr6_56489747_-	intragenic	_			NA
BRE002	chr6_58290231_+:chr6_58357361_-	intergenic	_			NA
BRE002	chr6_62617137_-:chr6_62617233_+	intragenic	_			NA
BRE002	chr6_63936747_+:chr6_63999731_-	intergenic	_			NA
BRE002	chr6_64359636_+:chr6_64374846_-	intragenic	_			NA
BRE002	chr6_65825799_+:chr6_65839288_-	intragenic	_			NA
BRE002	chr6_66882064_+:chr6_66905601_-	intergenic	_			NA
BRE002	chr6_67883456_+:chr6_67899662_-	intergenic	_			NA
BRE002	chr6_69997835_+:chr6_70039984_-	intragenic	_			NA
BRE002	chr6_70492861_+:chr6_70574831_-	gene_intergenic	_			NA
BRE002	chr6_72236905_-:chr6_72268212_+	intergenic	_			NA
BRE002	chr6_72237228_+:chr6_72268321_-	intergenic	_			NA
BRE002	chr6_72237228_-:chr6_72268214_-	intergenic	_			NA
BRE002	chr6_73788426_+:chr6_73835540_-	intragenic	_			NA
BRE002	chr6_73890683_+:chr6_74226985_-	intergenic	_			NA
BRE002	chr6_74082893_+:chr6_74198378_-	gene_gene	_			NA
BRE002	chr6_74192395_+:chr6_74229334_-	intergenic	_			NA
BRE002	chr6_75037416_+:chr6_75065498_-	intragenic	_			NA
BRE002	chr6_78281838_+:chr6_78334132_-	intergenic	_			NA
BRE002	chr6_80466250_+:chr6_80569424_-	intergenic	_			NA
BRE002	chr6_81382875_+:chr6_81416061_-	intergenic	_			NA
BRE002	chr6_82308019_-:chr6_82308293_+	intragenic	_			NA
BRE002	chr6_83517374_+:chr6_83578679_-	intergenic	_			NA
BRE002	chr6_84669627_+:chr6_84709300_-	gene_gene	_			NA
BRE002	chr6_84918291_+:chr6_84970625_-	gene_intergenic	simple_hidden_frame	chr6_84918291_+:chr6_84970625_-	simple	1
BRE002	chr6_87230698_+:chr6_87261483_-	intergenic	_			NA
BRE002	chr6_87259695_-:chr6_87261333_+	intergenic	_			NA
BRE002	chr6_87832012_+:chr6_87881652_-	gene_intergenic	_			NA
BRE002	chr6_89325688_+:chr6_89329318_-	intragenic	_			NA
BRE002	chr6_93035296_+:chr6_93060590_-	intergenic	_			NA
BRE002	chr6_96002236_+:chr6_96023355_-	intergenic	_			NA
BRE002	chr6_96527537_+:chr6_96689275_-	intergenic	_			NA
BRE002	chr6_96827522_+:chr6_96866673_-	intragenic	_			NA
BRE002	chr6_100969965_+:chr6_101047814_-	intragenic	_			NA
BRE002	chr6_102381766_-:chr6_102407347_+	intragenic	_			NA
BRE002	chr6_102537655_+:chr6_102576840_-	intergenic	_			NA
BRE002	chr6_104884756_+:chr6_107428783_-	intergenic	_			NA
BRE002	chr6_105846105_+:chr6_108193740_-	gene_gene	_			NA
BRE002	chr6_105887254_-:chr6_107040017_-	intergenic	_			NA
BRE002	chr6_106116532_+:chr6_107506164_-	intergenic	_			NA
BRE002	chr6_106721184_+:chr6_107039790_+	gene_intergenic	_			NA
BRE002	chr6_106759245_+:chr6_106840852_-	gene_intergenic	_			NA
BRE002	chr6_106978574_+:chr6_107674713_-	intergenic	_			NA
BRE002	chr6_106986689_-:chr6_111216578_-	gene_intergenic	_			NA
BRE002	chr6_106986698_+:chr6_107670880_-	intergenic	_			NA
BRE002	chr6_106988560_-:chr6_106990269_+	intragenic	_			NA
BRE002	chr6_107093507_+:chr6_107367580_-	gene_gene	_			NA
BRE002	chrY_21152915_-:chr6_107279727_+	intergenic	_			NA
BRE002	chr6_107282325_-:chr6_107284901_+	intergenic	_			NA
BRE002	chr6_107671103_+:chr6_111212557_+	gene_gene	_			NA
BRE002	chr6_108199626_-:chr6_108305865_-	intergenic	_			NA
BRE002	chr6_108252560_+:chr6_108264540_-	intragenic	_			NA
BRE002	chr6_108875904_+:chr6_109795082_-	intergenic	_			NA
BRE002	chr6_108916055_+:chr6_108931222_-	intragenic	_			NA
BRE002	chr6_109905997_+:chr6_110184296_-	gene_intergenic	_			NA
BRE002	chr6_110769605_+:chr6_110800234_-	gene_intergenic	_			NA
BRE002	chr6_111209073_+:chr6_111446813_-	gene_gene	_			NA
BRE002	chr6_112835230_+:chr6_112848352_-	intergenic	_			NA
BRE002	chr6_114167554_+:chr6_114185620_-	intergenic	_			NA
BRE002	chr6_114169781_+:chr6_114191496_-	intergenic	_			NA
BRE002	chr6_115792394_+:chr6_116005265_-	intergenic	_			NA
BRE002	chr6_118569620_+:chr6_119586104_-	intergenic	_			NA
BRE002	chr6_118989920_+:chr6_119298797_-	gene_gene	_			NA
BRE002	chr6_120899281_+:chr6_120915102_-	intergenic	_			NA
BRE002	chr6_121415107_+:chr6_121447969_-	intragenic	_			NA
BRE002	chr6_123827735_+:chr6_123944558_-	intragenic	_			NA
BRE002	chr6_127418209_+:chr6_127469670_-	gene_intergenic	_			NA
BRE002	chr6_129071786_-:chr6_129071837_+	intergenic	_			NA
BRE002	chr6_130992813_-:chr6_130993073_+	intergenic	_			NA
BRE002	chr17_79820395_-:chr6_131511518_+	intergenic	_			NA
BRE002	chr17_79129881_+:chr6_131637860_-	gene_intergenic	_			NA
BRE002	chr6_131880518_+:chr6_132000869_-	gene_intergenic	_			NA
BRE002	chr6_133064989_+:chr6_133142700_-	intergenic	_			NA
BRE002	chr6_133452288_+:chr6_133478773_-	intergenic	_			NA
BRE002	chr6_135349734_+:chr6_135395563_-	intragenic	_			NA
BRE002	chr6_135381047_+:chr6_135532109_-	gene_gene	_			NA
BRE002	chr6_135471353_+:chr6_135902400_-	gene_intergenic	_			NA
BRE002	chr6_135793707_+:chr6_135835153_-	gene_intergenic	_			NA
BRE002	chr6_136051813_+:chr6_136069684_-	intergenic	_			NA
BRE002	chr6_138169947_+:chr6_138317246_-	gene_intergenic	complex_fusion_gene	chr6_138169947_+:chr6_138317246_-^chr6_138247118_+:chr6_138526261_-^chr6_138247118_+:chr6_138526261_-	complex	1
BRE002	chr6_138247118_+:chr6_138526261_-	gene_intergenic	simple_hidden_frame	chr6_138247118_+:chr6_138526261_-	simple	1
BRE002	chr6_138337741_+:chr6_138444127_-	intergenic	_			NA
BRE002	chr6_139037646_+:chr6_139070299_-	intergenic	_			NA
BRE002	chr6_142537876_+:chr6_142558568_-	intergenic	_			NA
BRE002	chr6_144178547_+:chr6_144204084_-	gene_gene	_			NA
BRE002	chr6_145235636_-:chr6_145236155_+	intergenic	_			NA
BRE002	chr6_146342036_+:chr6_146349029_-	gene_intergenic	_			NA
BRE002	chr6_147158785_+:chr6_147238918_-	intergenic	_			NA
BRE002	chr6_147819267_+:chr6_148406728_-	intergenic	_			NA
BRE002	chr6_149237942_+:chr6_149297057_-	intragenic	_			NA
BRE002	chr6_153247837_+:chr6_153274399_-	intergenic	_			NA
BRE002	chr6_154422291_+:chr6_154610162_-	intergenic	_			NA
BRE002	chr6_155786634_+:chr6_155869132_-	intergenic	_			NA
BRE002	chr6_156978420_+:chr6_157064438_+	intergenic	_			NA
BRE002	chr6_156992313_+:chr6_157020880_-	intergenic	_			NA
BRE002	chr6_157064432_-:chr6_157069459_-	intergenic	_			NA
BRE002	chr6_157107299_+:chr6_157332270_-	intragenic	_			NA
BRE002	chr6_157196886_+:chr6_157501359_-	intragenic	_			NA
BRE002	chr6_157276722_+:chr6_157296047_-	intragenic	_			NA
BRE002	chr6_157498032_-:chr6_157499131_+	intragenic	_			NA
BRE002	chr6_158366203_+:chr6_158619209_-	gene_intergenic	_			NA
BRE002	chr6_159112271_+:chr6_159192889_-	intergenic	_			NA
BRE002	chr6_159410910_+:chr6_159458131_-	intragenic	_			NA
BRE002	chr6_161308259_+:chr6_161390938_-	gene_intergenic	_			NA
BRE002	chr6_161885248_+:chr6_161906359_-	intragenic	_			NA
BRE002	chr6_163010598_+:chr6_163422741_-	gene_intergenic	_			NA
BRE002	chr6_165450048_+:chr6_165497047_-	intergenic	_			NA
BRE002	chr6_165546516_+:chr6_165585874_-	intergenic	_			NA
BRE002	chr6_165732592_-:chr6_165735358_+	intergenic	_			NA
BRE002	chr6_166428190_+:chr6_167442344_-	gene_intergenic	_			NA
BRE002	chr6_167357291_+:chr6_167401007_-	gene_gene	_			NA
BRE002	chr6_167476069_+:chr6_167493178_-	intragenic	_			NA
BRE002	chr6_168614658_+:chr6_168863875_-	gene_intergenic	_			NA
BRE002	chr7_693260_+:chr7_733774_-	intragenic	_			NA
BRE002	chr7_1799600_+:chr7_1861403_-	intergenic	_			NA
BRE002	chr7_2272294_+:chr7_2658415_-	gene_intergenic	_			NA
BRE002	chr7_2411676_+:chr7_2749559_-	gene_gene	_			NA
BRE002	chr7_2429992_+:chr7_2702982_-	gene_intergenic	_			NA
BRE002	chr7_2542397_+:chr9_133879750_+	intergenic	_			NA
BRE002	chr7_2654045_-:chr9_134068664_-	gene_gene	_			NA
BRE002	chr7_2916606_+:chr7_2973327_-	intergenic	_			NA
BRE002	chr7_4866240_-:chr7_4866756_+	intragenic	_			NA
BRE002	chr7_5317435_+:chr7_5357542_-	intergenic	_			NA
BRE002	chr7_5445521_+:chr7_5512920_-	gene_gene	_			NA
BRE002	chr7_5505713_+:chr7_5568346_-	gene_gene	_			NA
BRE002	chr7_5538873_+:chr7_5570022_-	gene_gene	_			NA
BRE002	chr7_5548557_-:chr7_5551767_+	intragenic	_			NA
BRE002	chr7_5568808_+:chr7_5767248_-	gene_gene	_			NA
BRE002	chr7_5657856_+:chr7_5704259_-	intergenic	_			NA
BRE002	chr7_5658122_-:chr7_5679409_+	gene_intergenic	_			NA
BRE002	chr7_6436106_+:chr7_6602388_-	intergenic	_			NA
BRE002	chr7_8533915_-:chr8_79001333_+	gene_intergenic	_			NA
BRE002	chr7_13129613_+:chr7_13157285_-	gene_intergenic	_			NA
BRE002	chr7_13153175_+:chr7_13219480_-	intragenic	_			NA
BRE002	chr7_18109935_+:chr7_18111012_+	intergenic	_			NA
BRE002	chr7_20087549_+:chr7_20371667_-	gene_intergenic	simple_hidden_frame	chr7_20087549_+:chr7_20371667_-	simple	1
BRE002	chr7_22232745_+:chr7_22477574_-	gene_gene	simple_fusion_gene	chr7_22232745_+:chr7_22477574_-	simple	2
BRE002	chr7_24184243_+:chr7_25161280_-	intergenic	_			NA
BRE002	chr7_26119079_+:chr7_26229438_-	intergenic	_			NA
BRE002	chr7_26185084_-:chr7_26200987_+	intergenic	_			NA
BRE002	chr7_27110078_+:chr7_27148171_-	gene_intergenic	_			NA
BRE002	chr7_27624951_+:chr7_28043248_-	gene_gene	_			NA
BRE002	chr7_28261608_+:chr7_28294087_-	intergenic	_			NA
BRE002	chr7_29922160_+:chr7_29943384_-	intragenic	_			NA
BRE002	chr7_32950861_+:chr7_32989314_-	intragenic	_			NA
BRE002	chr7_36226330_-:chr7_36226868_+	intragenic	_			NA
BRE002	chr7_37298414_+:chr7_37346774_-	intragenic	_			NA
BRE002	chr7_37712072_+:chr7_37718108_+	intergenic	_			NA
BRE002	chr7_37716594_-:chr7_37722637_-	intergenic	_			NA
BRE002	chr7_40957919_+:chr7_41057437_-	intergenic	_			NA
BRE002	chr7_45061593_+:chr7_45097265_-	intragenic	_			NA
BRE002	chr7_46561465_-:chr7_46592314_-	intergenic	_			NA
BRE002	chr7_46587015_+:chr15_69688653_+	intergenic	_			NA
BRE002	chr7_50310317_+:chr7_51501098_-	intergenic	_			NA
BRE002	chr7_51266643_+:chr7_51579169_-	gene_intergenic	simple_hidden_frame	chr7_51266643_+:chr7_51579169_-	simple	1
BRE002	chr7_51422560_+:chr7_51498075_-	intergenic	_			NA
BRE002	chr7_53244068_+:chr7_95300760_+	intergenic	_			NA
BRE002	chr7_53341292_-:chr7_53341326_+	intergenic	_			NA
BRE002	chr7_54238016_+:chr7_54271340_-	intergenic	_			NA
BRE002	chr7_56833228_+:chr7_56860710_-	intergenic	_			NA
BRE002	chr7_57591292_+:chr7_57595517_+	intergenic	_			NA
BRE002	chr7_57595501_-:chr7_57617706_-	intergenic	_			NA
BRE002	chr7_64677498_+:chr7_66526816_-	gene_gene	_			NA
BRE002	chr7_67169041_+:chr7_67182509_-	intergenic	_			NA
BRE002	chr7_68404383_+:chr7_68440665_-	intergenic	_			NA
BRE002	chr7_68417173_+:chr7_68424128_-	intergenic	_			NA
BRE002	chr7_68783845_+:chr7_69106789_-	gene_intergenic	_			NA
BRE002	chr7_69686377_+:chr7_69700377_-	intragenic	_			NA
BRE002	chr7_73828297_+:chr7_73888156_-	gene_intergenic	_			NA
BRE002	chr7_75581014_+:chr7_75641545_-	intergenic	_			NA
BRE002	chr7_77344134_-:chr7_77345981_+	intragenic	_			NA
BRE002	chr7_79168892_+:chr7_79251690_-	intergenic	_			NA
